X,Y,Field1,Field2,Field3,Field4,Field5,Field6,насел,icon_url
44.5460378180001,43.5502585350001,"102902",поселок Западный,Республика Ингушетия,городской округ Город Малгобек,"44.546037818000059","43.550258535000069","180",./0.png
44.5768687520001,43.5959423360001,"102903",село Вежарий,Республика Ингушетия,Малгобекский муниципальный район,"44.576868752000053","43.595942336000064","1012",./1.png
44.5901909470001,43.509649547,"102904",город Малгобек,Республика Ингушетия,городской округ Город Малгобек,"44.590190947000053","43.509649547000038","38200",./2.png
44.569875182,43.469838478,"102905",село Пседах,Республика Ингушетия,Малгобекский муниципальный район,"44.569875182000033","43.469838478000042","5799",./3.png
44.5991219960001,43.3991170400001,"102906",село Гайрбек-Юрт,Республика Ингушетия,Назрановский муниципальный район,"44.599121996000065","43.399117040000078","258",./4.png
44.75271453,43.5451505770001,"102907",станица Вознесенская,Республика Ингушетия,Малгобекский муниципальный район,"44.752714530000048","43.545150577000072","1360",./1.png
44.8053130270001,43.472246167,"102908",село Новый Редант,Республика Ингушетия,Малгобекский муниципальный район,"44.805313027000068","43.472246167000037","4549",./1.png
44.772629124,43.483635846,"102909",село Зязиков-Юрт,Республика Ингушетия,Малгобекский муниципальный район,"44.772629124000048","43.483635846000027","5409",./3.png
44.7627800860001,43.4103455420001,"102910",село Нижние Ачалуки,Республика Ингушетия,Малгобекский муниципальный район,"44.762780086000078","43.410345542000073","5524",./3.png
44.732609514,43.3692378210001,"102911",село Средние Ачалуки,Республика Ингушетия,Малгобекский муниципальный район,"44.732609514000046","43.369237821000070","3719",./1.png
44.787415965,43.3512985900001,"102912",поселок Раздолье,Республика Ингушетия,Назрановский муниципальный район,"44.787415965000037","43.351298590000056","60",./0.png
44.8617739840001,43.507564421,"102913",село Аки-Юрт,Республика Ингушетия,Малгобекский муниципальный район,"44.861773984000081","43.507564421000041","1522",./1.png
45.047683955,43.320356168,"102914",город Сунжа,Республика Ингушетия,городской округ Город Сунжа,"45.047683955000025","43.320356168000046","66344",./5.png
44.9094106480001,43.305600166,"102915",город Карабулак,Республика Ингушетия,городской округ Город Карабулак,"44.909410648000062","43.305600166000033","42724",./2.png
44.9842990540001,43.080800782,"102916",село Галашки,Республика Ингушетия,Сунженский муниципальный район,"44.984299054000076","43.080800782000040","7448",./3.png
