X,Y,Field1,Field2,Field3,Field4,Field5,Field6,насел,icon_url
84.8265547610001,55.691953674,"35690",деревня Сарсаз,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.826554761000068","55.691953674000047","530",./0.png
84.769246497,55.6707795040001,"35691",посёлок Юрга-2,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.769246497000040","55.670779504000052","2700",./1.png
84.933875825,55.7135595720001,"35692",город Юрга,Кемеровская область — Кузбасс,Юргинский городской округ,"84.933875825000030","55.713559572000065","81733",./2.png
84.9628917700001,55.740718627,"35693",село Поломошное,Кемеровская область — Кузбасс,Яшкинский муниципальный округ,"84.962891770000056","55.740718627000035","1800",./1.png
84.6678087340001,55.6867042630001,"35694",поселок Кленовка,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.667808734000062","55.686704263000081","220",./0.png
84.6399970680001,55.6909452800001,"35695",поселок Юргинский,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.639997068000071","55.690945280000051","850",./0.png
84.623668507,55.7086835370001,"35696",поселок Разъезд 139 километр,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.623668507000048","55.708683537000070","10",./3.png
84.6414889750001,55.7050120870001,"35697",посёлок Зелёная Горка,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.641488975000073","55.705012087000057","160",./3.png
84.649245168,55.700067453,"35698",поселок при станции Таскаево,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.649245168000050","55.700067453000031","160",./3.png
84.6411514700001,55.7162228820001,"35699",деревня Бжицкая,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.641151470000068","55.716222882000068","70",./3.png
84.6447947570001,55.7442919710001,"35700",деревня Лебяжье-Асаново,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.644794757000057","55.744291971000052","550",./0.png
84.6882582690001,55.747878762,"35701",деревня Шитиково,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.688258269000073","55.747878762000028","80",./3.png
84.705239641,55.7891378300001,"35702",деревня Чахлово,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.705239641000048","55.789137830000072","40",./3.png
84.7493740570001,55.836222412,"35703",деревня Безменово,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.749374057000068","55.836222412000041","500",./0.png
84.7231665140001,55.837892045,"35704",село Проскоково,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.723166514000070","55.837892045000046","1400",./1.png
84.7820254540001,55.867184782,"35705",деревня Филоново,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.782025454000063","55.867184782000038","170",./3.png
84.7208299860001,55.8906850010001,"35706",посёлок Заозёрный,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.720829986000069","55.890685001000065","490",./0.png
84.8011055370001,55.8906848980001,"35707",поселок Приречье,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.801105537000069","55.890684898000075","130",./3.png
84.789006962,55.9005306270001,"35708",деревня Милютино,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.789006962000030","55.900530627000080","110",./3.png
84.8575466060001,55.9161266310001,"35709",деревня Елгино,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.857546606000085","55.916126631000054","500",./0.png
84.661935799,55.9514793210001,"35710",деревня Алабучинка,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.661935799000048","55.951479321000079","100",./3.png
84.6853669160001,55.9356308700001,"35711",деревня Чутовка,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.685366916000078","55.935630870000068","10",./3.png
84.8313998570001,55.956959446,"35712",село Мальцево,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.831399857000065","55.956959446000042","490",./0.png
84.885815833,55.9909747080001,"35713",деревня Томилово,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.885815833000038","55.990974708000067","440",./0.png
84.9511313410001,55.8377201970001,"35714",деревня Мохово,Кемеровская область — Кузбасс,Яшкинский муниципальный округ,"84.951131341000064","55.837720197000067","220",./0.png
84.8927058560001,55.7881825960001,"35715",деревня Талая,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.892705856000077","55.788182596000070","1200",./1.png
84.9468470670001,55.854802314,"35716",деревня Пятково,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.946847067000078","55.854802314000040","660",./0.png
84.990415054,55.9537184380001,"35717",деревня Иткара,Кемеровская область — Кузбасс,Яшкинский муниципальный округ,"84.990415054000039","55.953718438000067","60",./3.png
84.984844475,55.7132089500001,"35718",поселок Сланцевый Рудник,Кемеровская область — Кузбасс,Яшкинский муниципальный округ,"84.984844475000045","55.713208950000080","10",./3.png
84.975520063,55.7195514270001,"35719",поселок Осоавиахим,Кемеровская область — Кузбасс,Яшкинский муниципальный округ,"84.975520063000033","55.719551427000056","30",./3.png
84.9681231850001,55.727657584,"35720",поселок Тутальский Санаторий,Кемеровская область — Кузбасс,Яшкинский муниципальный округ,"84.968123185000081","55.727657584000042","150",./3.png
84.6449467570001,55.8629266500001,"35721",поселок Сокольники,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.644946757000071","55.862926650000077","280",./0.png
84.8770712080001,55.673818409,"35722",деревня Новоягодное,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"84.877071208000075","55.673818409000035","50",./3.png
85.1041716460001,55.691807576,"35723",поселок Речной,Кемеровская область — Кузбасс,Юргинский муниципальный округ,"85.104171646000054","55.691807576000031","570",./0.png
84.989455595,55.7548216120001,"35724",посёлок при станции Тутальская,Кемеровская область — Кузбасс,Яшкинский муниципальный округ,"84.989455595000038","55.754821612000057","760",./0.png
