X,Y,Field1,Field2,Field3,Field4,Field5,Field6,насел,icon_url
35.330480553,66.4684113330001,"64616",село Оленица,Мурманская область,Терский муниципальный район,"35.330480553000029","66.468411333000063","27",./0.png
34.344181946,66.6847611920001,"64617",поселок городского типа Умба,Мурманская область,Терский муниципальный район,"34.344181946000049","66.684761192000053","4412",./1.png
29.5911903,66.923859549,"64618",населенный пункт Кайралы,Мурманская область,Кандалакшский муниципальный район,"29.591190300000051","66.923859549000042","20",./0.png
29.186484061,66.800695008,"64619",поселок Сиртола,Мурманская область,Кандалакшский муниципальный район,"29.186484061000044","66.800695008000048","4",./0.png
29.428311578,66.825994811,"64620",поселок Саллайоки,Мурманская область,Кандалакшский муниципальный район,"29.428311578000034","66.825994811000044","4",./0.png
29.226320507,66.753542886,"64621",поселок Сараи,Мурманская область,Кандалакшский муниципальный район,"29.226320507000025","66.753542886000048","4",./0.png
31.093725255,67.7299157460001,"64622",поселок Лесоучасток Ермпорог,Мурманская область,Ковдорский муниципальный округ,"31.093725255000038","67.729915746000074","4",./0.png
31.8622578430001,67.6974992730001,"64623",поселок Кордон Мавра,Мурманская область,Ковдорский муниципальный округ,"31.862257843000066","67.697499273000062","4",./0.png
32.9788771720001,67.987519611,"64624",поселок 25 километр,Мурманская область,муниципальный округ Город Мончегорск,"32.978877172000068","67.987519611000039","400",./2.png
32.9415192600001,67.972762291,"64625",поселок 27 километр,Мурманская область,муниципальный округ Город Мончегорск,"32.941519260000064","67.972762291000038","3000",./1.png
32.932734629,67.863904092,"64626",посёлок Верхний Нюд,Мурманская область,муниципальный округ Город Мончегорск,"32.932734629000038","67.863904092000041","0",./0.png
32.937069906,67.9389195250001,"64627",город Мончегорск,Мурманская область,муниципальный округ Город Мончегорск,"32.937069906000033","67.938919525000074","41145",./3.png
33.3962752100001,67.999053609,"64628",поселок Куна,Мурманская область,муниципальный округ Город Оленегорск,"33.396275210000056","67.999053609000043","4",./0.png
33.1903394990001,67.766380059,"64629",поселок Нефелиновые Пески,Мурманская область,муниципальный округ Город Оленегорск,"33.190339499000061","67.766380059000028","4",./0.png
33.259852907,67.849829684,"64630",село Имандра,Мурманская область,муниципальный округ Город Оленегорск,"33.259852907000038","67.849829684000042","10",./0.png
33.337055987,67.9429880380001,"64631",поселок Рудный,Мурманская область,муниципальный округ Город Оленегорск,"33.337055987000042","67.942988038000067","4",./0.png
34.4374602510001,67.894651998,"64632",поселок Уютный,Мурманская область,Ловозерский муниципальный район,"34.437460251000061","67.894651998000029","4",./0.png
34.5189126870001,67.9141624820001,"64633",населенный пункт Шомиок,Мурманская область,Ловозерский муниципальный район,"34.518912687000068","67.914162482000052","4",./0.png
34.9679993280001,67.8089246310001,"64634",посёлок Мотка,Мурманская область,Ловозерский муниципальный район,"34.967999328000076","67.808924631000082","4",./0.png
34.5695011350001,67.6744380370001,"64635",поселок Пунча,Мурманская область,муниципальный округ Город Кировск,"34.569501135000053","67.674438037000073","40",./0.png
34.6068568750001,67.8954984370001,"64636",посёлок Ильма,Мурманская область,Ловозерский муниципальный район,"34.606856875000062","67.895498437000072","0",./0.png
34.5534005170001,67.9422049020001,"64637",поселок городского типа Ревда,Мурманская область,Ловозерский муниципальный район,"34.553400517000057","67.942204902000071","8002",./4.png
35.0779419030001,67.9763247440001,"64638",поселок Семерка,Мурманская область,Ловозерский муниципальный район,"35.077941903000067","67.976324744000067","4",./0.png
30.474031242,67.562916435,"64639",город Ковдор,Мурманская область,Ковдорский муниципальный округ,"30.474031242000024","67.562916435000034","16244",./3.png
30.7123337840001,67.4976410570001,"64640",населенный пункт Лейпи,Мурманская область,Ковдорский муниципальный округ,"30.712333784000066","67.497641057000067","420",./2.png
30.492514188,67.597938029,"64641",поселок Сопка,Мурманская область,Ковдорский муниципальный округ,"30.492514188000030","67.597938029000034","40",./0.png
30.8352835270001,67.481483671,"64642",населенный пункт Куропта,Мурманская область,Ковдорский муниципальный округ,"30.835283527000058","67.481483671000035","1200",./1.png
31.384503894,67.5777223690001,"64643",поселок Калюжный,Мурманская область,Ковдорский муниципальный округ,"31.384503894000034","67.577722369000071","4",./0.png
31.8886568350001,67.5438918510001,"64644",поселок при станции Уполокша,Мурманская область,Ковдорский муниципальный округ,"31.888656835000063","67.543891851000069","4",./0.png
31.158271879,67.6038166270001,"64645",посёлок Ёна,Мурманская область,Ковдорский муниципальный округ,"31.158271879000040","67.603816627000072","520",./2.png
31.316171502,67.494443469,"64646",населенный пункт Риколатва,Мурманская область,Ковдорский муниципальный округ,"31.316171502000032","67.494443469000032","1200",./1.png
31.1550297640001,67.582310545,"64647",населенный пункт Ёнский,Мурманская область,Ковдорский муниципальный округ,"31.155029764000062","67.582310545000041","2800",./1.png
