X,Y,Field1,Field2,Field3,Field4,Field5,Field6,насел,icon_url
44.4375239660001,52.4143270980001,"82641",деревня Панкратовка,Пензенская область,Сердобский муниципальный район,"44.437523966000072","52.414327098000058","10",./0.png
42.831420166,51.996778191,"120424",село Малое Щербедино,Саратовская область,Романовский муниципальный район,"42.831420166000044","51.996778191000033","457",./1.png
42.892656883,51.9577762860001,"120425",деревня Студено-Ивановка,Саратовская область,Турковский муниципальный район,"42.892656883000029","51.957776286000069","39",./0.png
42.74383699,51.9431186620001,"120426",поселок Константиновский,Саратовская область,Романовский муниципальный район,"42.743836990000034","51.943118662000074","0",./0.png
42.7393810070001,51.9121687090001,"120427",поселок Борецк,Саратовская область,Романовский муниципальный район,"42.739381007000077","51.912168709000071","90",./0.png
42.775286597,51.877127134,"120428",село Осиновка,Саратовская область,Романовский муниципальный район,"42.775286597000047","51.877127134000034","313",./1.png
42.80915738,51.830320041,"120429",село Бобылевка,Саратовская область,Романовский муниципальный район,"42.809157380000045","51.830320041000050","543",./1.png
42.945432909,51.8691310820001,"120430",село Бык,Саратовская область,Романовский муниципальный район,"42.945432909000033","51.869131082000081","159",./0.png
42.879190501,51.8134876350001,"120431",село Мордовский Карай,Саратовская область,Романовский муниципальный район,"42.879190501000039","51.813487635000058","1370",./2.png
42.8231698280001,51.7966329170001,"120432",деревня Вязовая,Саратовская область,Романовский муниципальный район,"42.823169828000061","51.796632917000068","191",./0.png
42.807778225,51.666638988,"120433",село Подгорное,Саратовская область,Романовский муниципальный район,"42.807778225000050","51.666638988000045","1096",./2.png
42.925110304,51.686465485,"120434",поселок Таволжанский,Саратовская область,Романовский муниципальный район,"42.925110304000043","51.686465485000042","220",./1.png
42.871457203,51.8752892530001,"120435",село Усть-Щербедино,Саратовская область,Романовский муниципальный район,"42.871457203000034","51.875289253000062","827",./1.png
43.1824847330001,51.994559273,"120436",село Ильинка,Саратовская область,Турковский муниципальный район,"43.182484733000081","51.994559273000050","92",./0.png
43.272647869,51.9858497020001,"120437",рабочий посёлок Турки,Саратовская область,Турковский муниципальный район,"43.272647869000025","51.985849702000053","5978",./3.png
43.5062291420001,51.9803251860001,"120438",село Подгорное,Саратовская область,Аркадакский муниципальный район,"43.506229142000052","51.980325186000073","549",./1.png
43.3919394530001,51.9930151510001,"120439",деревня Подрезенка,Саратовская область,Аркадакский муниципальный район,"43.391939453000077","51.993015151000066","38",./0.png
43.036097016,51.9761735920001,"120440",деревня Егорьевка,Саратовская область,Турковский муниципальный район,"43.036097016000042","51.976173592000066","0",./0.png
43.0311090120001,51.955530971,"120441",село Чернавка,Саратовская область,Турковский муниципальный район,"43.031109012000059","51.955530971000030","428",./1.png
