X,Y,Field1,Field2,Field3,Field4,Field5,Field6,насел,icon_url
142.016061293,47.707025161,"122257",село Урожайное,Сахалинская область,Томаринский городской округ,"142.016061293000121","47.707025161000047","30",./0.png
142.06352949,47.761065935,"122258",город Томари,Сахалинская область,Томаринский городской округ,"142.063529490000064","47.761065935000033","3771",./1.png
142.143933769,47.9006711160001,"122259",село Пензенское,Сахалинская область,Томаринский городской округ,"142.143933769000114","47.900671116000069","610",./2.png
142.190487118,47.9043954570001,"122260",село Черемшанка,Сахалинская область,Томаринский городской округ,"142.190487118000078","47.904395457000078","430",./2.png
142.477394515,47.912638717,"122261",село Арсентьевка,Сахалинская область,Долинский городской округ,"142.477394515000015","47.912638717000050","10",./0.png
142.570176742,47.6535305030001,"122262",село Фирсово,Сахалинская область,Долинский городской округ,"142.570176742000058","47.653530503000070","50",./0.png
142.661680503,47.4940145800001,"122263",село Советское,Сахалинская область,Долинский городской округ,"142.661680503000071","47.494014580000055","750",./2.png
142.692380726,47.3654606040001,"122264",село Ручьи,Сахалинская область,Долинский городской округ,"142.692380726000010","47.365460604000077","50",./0.png
142.707046858,47.3401114810001,"122265",село Октябрьское,Сахалинская область,Долинский городской округ,"142.707046858000012","47.340111481000065","250",./2.png
142.085159837,47.00402153,"122266",село Николайчук,Сахалинская область,Холмский городской округ,"142.085159837000106","47.004021530000045","0",./0.png
142.027166028,47.2595679,"122267",село Пионеры,Сахалинская область,Холмский городской округ,"142.027166028000011","47.259567900000036","670",./2.png
142.079378232,47.1634408260001,"122268",село Совхозное,Сахалинская область,Холмский городской округ,"142.079378232000067","47.163440826000055","230",./2.png
142.163459856,47.2724283790001,"122269",село Павино,Сахалинская область,Холмский городской округ,"142.163459856000031","47.272428379000075","10",./0.png
142.391435388,47.0300648400001,"122270",село Ожидаево,Сахалинская область,Холмский городской округ,"142.391435388000104","47.030064840000080","10",./0.png
142.328390107,47.0194604050001,"122271",село Чистоводное,Сахалинская область,Холмский городской округ,"142.328390107000018","47.019460405000075","180",./0.png
142.261726321,47.015092241,"122272",село Пятиречье,Сахалинская область,Холмский городской округ,"142.261726321000083","47.015092241000048","500",./2.png
142.690132015,47.321755851,"122273",село Сосновка,Сахалинская область,Долинский городской округ,"142.690132015000017","47.321755851000034","360",./2.png
142.704605756,47.327205055,"122274",село Покровка,Сахалинская область,Долинский городской округ,"142.704605756000092","47.327205055000036","620",./2.png
142.748399085,47.2427729670001,"122275",село Сокол,Сахалинская область,Долинский городской округ,"142.748399085000074","47.242772967000064","3120",./1.png
142.746887623,47.1717971100001,"122276",село Старорусское,Сахалинская область,городской округ Город Южно-Сахалинск,"142.746887623000021","47.171797110000057","216",./2.png
