Кратк,Вид,Широт,Долго,Насел,МО,Регио,Округ,icon_url
ГБУЗ «СУБ»,Больница (в том числе детская),"43.0808","44.9843",Галашки,Сунженский район,Республика Ингушетия,Северо-Кавказский федеральный округ,./0.png
"ГБУЗ ""КАРАБУЛАКСКАЯ ГОРОДСКАЯ БОЛЬНИЦА""",Больница (в том числе детская),"43.30959","44.912052",Карабулак,городской округ Карабулак,Республика Ингушетия,Северо-Кавказский федеральный округ,./0.png
"ГБУЗ ""КУБ""",Участковая больница,"43.233578","44.626255",Кантышево,Назрановский район,Республика Ингушетия,Северо-Кавказский федеральный округ,./0.png
"ГБУ ""ИРКБ"" им. А.О. Ахушкова",Больница (в том числе детская),"43.217255","44.762",Центральный округ,городской округ Назрань,Республика Ингушетия,Северо-Кавказский федеральный округ,./0.png
"ГБУЗ""НРБ""",Больница (в том числе детская),"43.247276","44.81087",Гамурзиевский округ,городской округ Назрань,Республика Ингушетия,Северо-Кавказский федеральный округ,./0.png
"ГБУЗ ""Малгобекская центральная районная больница""",Больница (в том числе детская),"43.50891","44.575455",Малгобек,городской округ Малгобек,Республика Ингушетия,Северо-Кавказский федеральный округ,./0.png
"ГБУЗ ""СЦРБ""",Больница (в том числе детская),"43.320156","45.048027",Сунжа,Сунженский район,Республика Ингушетия,Северо-Кавказский федеральный округ,./0.png
"ГБУЗ ""МРБ №2""",Больница (в том числе детская),"43.54515","44.752712",Вознесенская,Малгобекский район,Республика Ингушетия,Северо-Кавказский федеральный округ,./0.png
"ГБУЗ ""АУБ""",Участковая больница,"43.369236","44.73261",Средние Ачалуки,Малгобекский район,Республика Ингушетия,Северо-Кавказский федеральный округ,./0.png
"ГБУЗ ""РПНИНД""",Больница (в том числе детская),"43.238773","44.7695",Гамурзиевский округ,городской округ Назрань,Республика Ингушетия,Северо-Кавказский федеральный округ,./0.png
"ГБУ ""ЦОМД""",Больница (в том числе детская),"43.192604","44.751022",Насыр-Кортский округ,городской округ Назрань,Республика Ингушетия,Северо-Кавказский федеральный округ,./0.png
"ГБУ ""РССМП""",Медицинские организации скорой медицинской помощи и переливания крови,"43.21378","44.796646",Насыр-Кортский округ,городской округ Назрань,Республика Ингушетия,Северо-Кавказский федеральный округ,./0.png
ГБУ «СССМП»,Медицинские организации скорой медицинской помощи и переливания крови,"43.314175","45.0423",Сунжа,Сунженский район,Республика Ингушетия,Северо-Кавказский федеральный округ,./0.png
"ГБУЗ ""ДРБ""",Больница (в том числе детская),"42.801212","44.752502",Ольгети,Джейрахский район,Республика Ингушетия,Северо-Кавказский федеральный округ,./0.png
ГБУ «РСПК»,Медицинские организации скорой медицинской помощи и переливания крови,"43.217255","44.762",Центральный округ,городской округ Назрань,Республика Ингушетия,Северо-Кавказский федеральный округ,./0.png
"ГБУ ""МРССМП""",Медицинские организации скорой медицинской помощи и переливания крови,"43.512226","44.58497",Малгобек,городской округ Малгобек,Республика Ингушетия,Северо-Кавказский федеральный округ,./0.png
ГБУ «РПБ»,Бюро,"43.263046","44.80944",Барсуки,Назрановский район,Республика Ингушетия,Северо-Кавказский федеральный округ,./0.png
"ГБУЗ ""ДРКБ""",Больница (в том числе детская),"43.195377","44.76657",Насыр-Кортский округ,городской округ Назрань,Республика Ингушетия,Северо-Кавказский федеральный округ,./0.png
МЧ-7 ФКУЗ МСЧ-7 ФСИН России,"Медико-санитарная часть, в том числе центральная","43.305595","44.909405",Карабулак,городской округ Карабулак,Республика Ингушетия,Северо-Кавказский федеральный округ,./0.png
ГБУЗ «РЦМК и СМП»,Медицинские организации скорой медицинской помощи и переливания крови,"43.213066","44.795147",Насыр-Кортский округ,городской округ Назрань,Республика Ингушетия,Северо-Кавказский федеральный округ,./0.png
