Кратк,Субъе,Вид д�,Широт,Долго,Насел,Регио,Округ,icon_url
ГАУЗ КО АСГБ,Кемеровская область,Больница (в том числе детская),"55.36132","86.07365",Анжеро-Судженск,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ ""БГБ № 2""",Кемеровская область,Больница (в том числе детская),"54.308502","86.29365",Новый Городок,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ КО БКВД,Кемеровская область,Больница (в том числе детская),"54.434277","86.299065",Белово,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ КО ""БССМП""",Кемеровская область,Медицинские организации скорой медицинской помощи и переливания крови,"54.43071","86.30062",Белово,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ ""БГБ №1""",Кемеровская область,Больница (в том числе детская),"54.430668","86.30141",Белово,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ БГДБ,Кемеровская область,Больница (в том числе детская),"54.407455","86.27594",Белово,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ ""Беловская городская больница №4""",Кемеровская область,Больница (в том числе детская),"54.43443","86.44404",Инской,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ КО ОТ БелПАБ,Кемеровская область,Бюро,"54.40726","86.27095",Белово,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ БССМП,Кемеровская область,Медицинские организации скорой медицинской помощи и переливания крови,"55.662678","86.25843",Березовский,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ КО ""Березовская городская больница""",Кемеровская область,Больница (в том числе детская),"55.666702","86.280785",Березовский,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ КО КПБ,Кемеровская область,Больница (в том числе детская),"53.521713","87.27829",Калтан,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ КО ""Калтанская ГБ №2""",Кемеровская область,Больница (в том числе детская),"53.397564","87.2897",Малиновка,Кемеровская область,Сибирский федеральный округ,./0.png
"ГБУЗ КО ""Калтанская городская больница""",Кемеровская область,Больница (в том числе детская),"53.52107","87.279915",Калтан,Кемеровская область,Сибирский федеральный округ,./0.png
ГБПОУ «Кузбасский медицинский колледж»,Кемеровская область,Бюро,"55.362507","86.07333",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
"ГАУЗ ""УТ""",Кемеровская область,Бюро,"55.32962","86.152466",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
ГАУЗ КОКБ,Кемеровская область,Больница (в том числе детская),"55.34905","86.12108",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
ГАУЗ КО КОКОБ,Кемеровская область,Больница (в том числе детская),"55.350468","86.121056",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ ККПБ,Кемеровская область,Больница (в том числе детская),"55.33296","86.15812",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ«КНМБ»,Кемеровская область,Бюро,"55.348877","86.11916",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
ГАУЗ КО ОКПЦ им. Л.А. Решетовой,Кемеровская область,Больница (в том числе детская),"55.349194","86.11753",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ КО ПРОТИВОТУБЕР ДИСПАНСЕР КЕМЕРОВО,Кемеровская область,Больница (в том числе детская),"55.335255","86.15139",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
ГКУЗ КЦК,Кемеровская область,Медицинские организации скорой медицинской помощи и переливания крови,"55.348877","86.11916",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
ГБУЗ КО ОТ КемОПАБ,Кемеровская область,Бюро,"55.348877","86.11916",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
