Кратк,Вид,Широт,Долго,Насел,МО,Регио,Округ,icon_url
"ГОБУЗ ""ОЦГБ""",Больница (в том числе детская),"68.14268","33.253036",Оленегорск,городской округ Оленегорск,Мурманская область,Северо-Западный федеральный округ,./0.png
"ГОБУЗ ""Кандалакшская ЦРБ""",Больница (в том числе детская),"67.18058","32.439655",Кандалакша,Кандалакшский район,Мурманская область,Северо-Западный федеральный округ,./0.png
ГОБУЗ МОСПК,Медицинские организации скорой медицинской помощи и переливания крови,"68.95294","33.1087",Мурманск,городской округ Мурманск,Мурманская область,Северо-Западный федеральный округ,./0.png
ГОБУЗ «МОКБ им П. А. Баяндина»,Больница (в том числе детская),"68.953636","33.107185",Мурманск,городской округ Мурманск,Мурманская область,Северо-Западный федеральный округ,./0.png
ГОБУЗ ОМБ СМЭ,Бюро,"68.95391","33.10913",Мурманск,городской округ Мурманск,Мурманская область,Северо-Западный федеральный округ,./0.png
"ГОБУЗ ""ЛЦРБ""",Больница (в том числе детская),"67.94381","34.553112",Ревда,Ловозерский район,Мурманская область,Северо-Западный федеральный округ,./0.png
ГОБУЗ МОДКБ,Больница (в том числе детская),"68.9956","33.112206",Мурманск,городской округ Мурманск,Мурманская область,Северо-Западный федеральный округ,./0.png
"ГОБУЗ ""Апатитско-Кировская ЦГБ""",Больница (в том числе детская),"67.56474","33.403957",Апатиты,городской округ Апатиты,Мурманская область,Северо-Западный федеральный округ,./0.png
ГОАУЗ МЦРБ,Больница (в том числе детская),"67.94452","32.941113",Мончегорск,городской округ Мончегорск,Мурманская область,Северо-Западный федеральный округ,./0.png
"Филиал ""МСЧ № 3"" ФГБУЗ ЦМСЧ № 120 ФМБА России","Медико-санитарная часть, в том числе центральная","69.39855","32.438515",Заозерск,ЗАТО Заозёрск,Мурманская область,Северо-Западный федеральный округ,./0.png
"ГОБУЗ ""Печенгская ЦРБ""",Больница (в том числе детская),"69.42448","30.831043",Заполярный,Печенгский район,Мурманская область,Северо-Западный федеральный округ,./0.png
"ГОБУЗ ""Кольская ЦРБ""",Больница (в том числе детская),"68.879715","33.021595",Кола,Кольский район,Мурманская область,Северо-Западный федеральный округ,./0.png
"ГОБУЗ ""ЦРБ ЗАТО г. Североморск""",Больница (в том числе детская),"69.0713","33.39383",Североморск,ЗАТО Североморск,Мурманская область,Северо-Западный федеральный округ,./0.png
ФГБУЗ МСЧ № 118 ФМБА России,"Медико-санитарная часть, в том числе центральная","67.36459","32.504253",Полярные Зори,городской округ Полярные Зори,Мурманская область,Северо-Западный федеральный округ,./0.png
ФГБУЗ ЦМСЧ № 120 ФМБА России,"Медико-санитарная часть, в том числе центральная","69.19217","33.238304",Снежногорск,ЗАТО Александровск,Мурманская область,Северо-Западный федеральный округ,./0.png
"Филиал ""МСЧ № 5"" ФГБУЗ ЦМСЧ № 120 ФМБА России","Медико-санитарная часть, в том числе центральная","69.20516","33.43983",Полярный,ЗАТО Александровск,Мурманская область,Северо-Западный федеральный округ,./0.png
ГОБУЗ МОССМП,Медицинские организации скорой медицинской помощи и переливания крови,"68.974556","33.095436",Мурманск,городской округ Мурманск,Мурманская область,Северо-Западный федеральный округ,./0.png
"ФКУЗ ""МСЧ МВД России по Мурманской области""","Медико-санитарная часть, в том числе центральная","68.97102","33.094715",Мурманск,городской округ Мурманск,Мурманская область,Северо-Западный федеральный округ,./0.png
Филиал «МСЧ №4» ФГБУЗ ЦМСЧ № 120 ФМБА России,"Медико-санитарная часть, в том числе центральная","68.053345","39.49224",Островной,ЗАТО Островной,Мурманская область,Северо-Западный федеральный округ,./0.png
"Филиал ""МСЧ № 6"" ФГБУЗ ЦМСЧ № 120 ФМБА России","Медико-санитарная часть, в том числе центральная","69.24768","33.32268",Гаджиево,ЗАТО Александровск,Мурманская область,Северо-Западный федеральный округ,./0.png
ФКУЗ МСЧ-51 ФСИН России,"Медико-санитарная часть, в том числе центральная","68.97587","33.09824",Мурманск,городской округ Мурманск,Мурманская область,Северо-Западный федеральный округ,./0.png
ООО «Ваш Доктор»,"Амбулатория, в том числе врачебная","68.958534","33.068645",Мурманск,городской округ Мурманск,Мурманская область,Северо-Западный федеральный округ,./0.png
ФГКУ «1469 ВМКГ» Минобороны России,Госпиталь,"69.06291","33.41077",Североморск,ЗАТО Североморск,Мурманская область,Северо-Западный федеральный округ,./0.png
Филиал №3 ФГКУ «1469 ВМКГ» Минобороны России,Госпиталь,"68.95242","33.08032",Мурманск,городской округ Мурманск,Мурманская область,Северо-Западный федеральный округ,./0.png
