Кратк,Вид,Широт,Долго,Насел,МО,Регио,Округ,icon_url
"ГБУЗ НСО ""Линевская РБ""",Больница (в том числе детская),"54.456787","83.38964",Линево,Искитимский район,Новосибирская область,Сибирский федеральный округ,./0.png
"ГБУЗ НСО ""Ордынская ЦРБ""",Больница (в том числе детская),"54.366283","81.898705",Ордынское,Ордынский район,Алтайский край,Сибирский федеральный округ,./0.png
ФГБУЗ МСЧ № 163 ФМБА России,"Медико-санитарная часть, в том числе центральная","54.95004","83.20519",Кольцово,городской округ Кольцово,Новосибирская область,Сибирский федеральный округ,./0.png
"ФГБУ ""НМИЦ им. ак. Е.Н.Мешалкина"" Минздрава России",Больница (в том числе детская),"54.867867","83.0734",Новосибирск,городской округ Новосибирск,Новосибирская область,Сибирский федеральный округ,./0.png
"ФГБУ ДПНС ""Озеро Карачи"" Минздрава России",Больница (в том числе детская),"55.34822","76.95436",Озеро-Карачи,Чановский район,Новосибирская область,Сибирский федеральный округ,./0.png
"ГБУЗ НСО ""ДГКБ № 1""",Больница (в том числе детская),"54.97527","82.89509",Новосибирск,городской округ Новосибирск,Новосибирская область,Сибирский федеральный округ,./0.png
"ГБУЗ НСО ""Маслянинская ЦРБ""",Больница (в том числе детская),"54.325592","84.22201",Маслянино,Маслянинский район,Алтайский край,Сибирский федеральный округ,./0.png
"ГБУЗ НСО ""ГКБ №1""",Больница (в том числе детская),"55.069145","82.92715",Новосибирск,городской округ Новосибирск,Новосибирская область,Сибирский федеральный округ,./0.png
"ГБУЗ НСО ""Баганская ЦРБ""",Больница (в том числе детская),"54.103706","77.65282",Баган,Баганский район,Новосибирская область,Сибирский федеральный округ,./0.png
"ГБУЗ НСО ""Городская клиническая больница № 12""",Больница (в том числе детская),"55.06729","82.962875",Новосибирск,городской округ Новосибирск,Новосибирская область,Сибирский федеральный округ,./0.png
"ГБУЗ НСО ""Чановская ЦРБ""",Больница (в том числе детская),"55.3143","76.7796",Чаны,Чановский район,Новосибирская область,Сибирский федеральный округ,./0.png
"ГКУ НСО ""Новосибоблфарм""",Больница (в том числе детская),"55.053413","82.89619",Новосибирск,городской округ Новосибирск,Новосибирская область,Сибирский федеральный округ,./0.png
"ГБУЗ НСО ""НОКБСМЭ""",Бюро,"54.985596","82.917915",Новосибирск,городской округ Новосибирск,Новосибирская область,Сибирский федеральный округ,./0.png
"ГБУЗ НСО ""ССМП""",Медицинские организации скорой медицинской помощи и переливания крови,"55.03643","82.93252",Новосибирск,городской округ Новосибирск,Новосибирская область,Сибирский федеральный округ,./0.png
