Кратк,Вид,Широт,Долго,Назва,Регио,Округ,icon_url
Филиал ФГБУЗ СМЦ ФМБА России - МСЧ № 3,Больница (в том числе детская),"51.517635","46.00995",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
Филиал ФГБУЗ СМЦ ФМБА России - МСЧ №1,Больница (в том числе детская),"52.110527","47.19707",Шиханы,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Новоузенская РБ""",Больница (в том числе детская),"50.4489","48.154953",Новоузенск,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Перелюбская РБ""",Больница (в том числе детская),"51.861496","50.345676",Перелюб,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ ""Областная клиническая больница""",Больница (в том числе детская),"51.535686","45.956627",Смирновское ущелье,Саратовская область,Приволжский федеральный округ,./0.png
ФГБУЗ СМЦ ФМБА России,Больница (в том числе детская),"52.027054","47.83846",Балаково,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Федоровская РБ""",Больница (в том числе детская),"51.238777","47.51137",Мокроус,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ ""ЭДКБ""",Больница (в том числе детская),"51.497","46.12399",Энгельс,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ ""Саратовская детская инфекционная клиническая больница № 5""",Больница (в том числе детская),"51.538033","46.05521",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Питерская РБ""",Больница (в том числе детская),"50.66435","47.42661",Питерка,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ ""БСМЭ МЗ СО""",Бюро,"51.539284","45.975605",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Красноармейская РБ""",Больница (в том числе детская),"51.02577","45.68561",Красноармейск,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Новобурасская РБ""",Больница (в том числе детская),"52.128433","46.075363",Новые Бурасы,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Балашовская детская больница""",Больница (в том числе детская),"51.560123","43.213062",Балашов,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Романовская РБ""",Больница (в том числе детская),"51.751","42.7379",Романовка,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Балаковская ССМП""",Медицинские организации скорой медицинской помощи и переливания крови,"52.027237","47.777306",Балаково,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Советская РБ""",Больница (в том числе детская),"51.37786","46.84074",Степное,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ ""СОКГВВ""",Госпиталь,"51.528683","46.038567",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Дергачевская РБ""",Больница (в том числе детская),"51.23316","48.747597",Дергачи,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ ""ЭССМП""",Медицинские организации скорой медицинской помощи и переливания крови,"51.468716","46.149258",Энгельс,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Воскресенская РБ""",Больница (в том числе детская),"51.82855","46.919617",Воскресенское,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Ровенская РБ""",Больница (в том числе детская),"50.77203","46.047966",Ровное,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Вольская ССМП""",Медицинские организации скорой медицинской помощи и переливания крови,"52.036896","47.377945",Вольск,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Турковская РБ""",Больница (в том числе детская),"51.985844","43.272648",Турки,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Самойловская РБ""",Больница (в том числе детская),"51.186317","43.714706",Самойловка,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Екатериновская РБ""",Больница (в том числе детская),"52.0459","44.33575",Екатериновка,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Балашовская ССМП""",Медицинские организации скорой медицинской помощи и переливания крови,"51.543182","43.177097",Балашов,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Лысогорская РБ""",Больница (в том числе детская),"51.535187","44.807926",Лысые Горы,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Ершовская РБ""",Больница (в том числе детская),"51.34308","48.255585",Ершов,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Марксовская РБ""",Больница (в том числе детская),"51.720345","46.76542",Маркс,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Балтайская РБ""",Больница (в том числе детская),"52.462048","46.62406",Балтай,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Пугачевская РБ""",Больница (в том числе детская),"52.007015","48.80537",Пугачев,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Озинская РБ""",Больница (в том числе детская),"51.198723","49.730915",Озинки,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Краснокутская РБ""",Больница (в том числе детская),"50.950825","46.96872",Красный Кут,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Калининская РБ""",Больница (в том числе детская),"51.49081","44.49129",Калининск,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Александрово-Гайская РБ им. В.П.Дурнова""",Больница (в том числе детская),"50.141884","48.58536",Александров Гай,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Ртищевская РБ""",Больница (в том числе детская),"52.25446","43.79131",Ртищево,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Аркадакская РБ""",Больница (в том числе детская),"51.936367","43.507652",Аркадак,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Духовницкая РБ""",Больница (в том числе детская),"52.473755","48.202354",Духовницкое,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Ивантеевская РБ""",Больница (в том числе детская),"52.27405","49.11507",Ивантеевка,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Татищевская РБ""",Больница (в том числе детская),"51.669907","45.583946",Татищево,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Базарно-Карабулакская РБ""",Больница (в том числе детская),"52.26314","46.412117",Базарный Карабулак,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ ""СОДКБ""",Больница (в том числе детская),"51.521038","46.019936",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ ""ОДИКБ имени Н.Р. Иванова""",Больница (в том числе детская),"51.5162","45.962914",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"ГАУЗ ""ЭГКБ № 1""",Больница (в том числе детская),"51.471626","46.156662",Энгельс,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ ""СГКБ № 9""",Больница (в том числе детская),"51.53322","46.05766",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ ""СГССМП""",Медицинские организации скорой медицинской помощи и переливания крови,"51.526352","46.006714",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Хвалынская РБ им. Бржозовского""",Больница (в том числе детская),"52.496952","48.101955",Хвалынск,Саратовская область,Приволжский федеральный округ,./0.png
"ГАУЗ СО ""Энгельсская РБ""",Больница (в том числе детская),"51.447487","46.079018",Энгельс,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Балашовская РБ""",Больница (в том числе детская),"51.538185","43.16038",Балашов,Саратовская область,Приволжский федеральный округ,./0.png
"ГУЗ СО ""Аткарская РБ""",Больница (в том числе детская),"51.873646","45.007553",Аткарск,Саратовская область,Приволжский федеральный округ,./0.png
"ГАУЗ ""ЭГБ № 2""",Больница (в том числе детская),"51.495556","46.152374",Энгельс,Саратовская область,Приволжский федеральный округ,./0.png
