Регио,МО,Тип н�,Насел,Адрес,Широт,Долго,Кратк,icon_url
Белгородская область,Ивнянский район,Село,Березовка,"Белгородская область, Ивнянский район, село Березовка, ул. Десницкого, д. 11, стр. 1","50.906333","36.202472",ФАП,./0.png
Белгородская область,Шебекинский район,Село,Бершаково,"Белгородская область, Шебекинский район, село Бершаково, ул. Калинина, д. 194","50.544617","37.43207",ФАП,./0.png
Белгородская область,Прохоровский район,Хутор,Бехтеевка,"Белгородская область, Прохоровский район, хутор Бехтеевка, д. 1","51.054324","36.84724",ФАП,./0.png
Белгородская область,Валуйский район,Село,Бирюч,"Белгородская область, Валуйский район, село Бирюч, ул. Смирнова, д. 31","50.252423","37.721885",ФАП,./0.png
Белгородская область,Шебекинский район,Село,Белый Колодезь,"Белгородская область, Шебекинский район, село Белый Колодезь, ул. Пионерская, д. 1","50.624286","37.312846",ФАП,./0.png
Белгородская область,Корочанский район,Село,Белый Колодец,"Белгородская область, Корочанский район, село Белый Колодец, ул. Выгон, д. 5","50.936201","37.267113",ФАП,./0.png
Белгородская область,Вейделевский район,Село,Белый Плес,"Белгородская область, Вейделевский район, село Белый Плес, ул. Комсомольская, д. 57А","50.205314","38.610157",ФАП,./0.png
Белгородская область,Борисовский район,Село,Березовка,"Белгородская область, Борисовский район, село Березовка, ул. Колхозная, д. 4/1","50.530763","35.886159",ФАП,./0.png
Белгородская область,Ровеньский район,Село,Барсучье,"Белгородская область, Ровеньский район, село Барсучье, ул. Центральная, д. 25","49.989723","39.235034",ФАП,./0.png
Белгородская область,Шебекинский район,Поселок,Батрацкая Дача,"Белгородская область, Шебекинский район, поселок Батрацкая Дача, ул. Центральная, д. 1","50.56927","36.821243",ФАП,./0.png
Белгородская область,Шебекинский район,Село,Безлюдовка,"Белгородская область, Шебекинский район, село Безлюдовка, пер. Сосновый, д. 2а","50.396564","36.783334",ФАП,./0.png
Белгородская область,Грайворонский район,Село,Безымено,"Белгородская область, Грайворонский район, село Безымено, ул. Октябрьская, д. 79","50.390253","35.69966",ФАП,./0.png
Белгородская область,Борисовский район,Село,Байцуры,"Белгородская область, Борисовский район, село Байцуры, ул. Молодежная, д. 26/2","50.523359","36.076566",ФАП,./0.png
Белгородская область,Чернянский район,Село,Баклановка,"Белгородская область, Чернянский район, село Баклановка, ул. Центральная, д. 32","51.014041","38.13202",ФАП,./0.png
Белгородская область,Вейделевский район,Село,Банкино,"Белгородская область, Вейделевский район, село Банкино, ул. Мира, д. 5","50.114872","38.733478",ФАП,./0.png
Белгородская область,Новооскольский район,Село,Барсук,"Белгородская область, Новооскольский район, село Барсук, ул. Швец, д. 61","50.701379","37.545285",ФАП,./0.png
Белгородская область,Старооскольский городской округ,Село,Архангельское,"Белгородская область, Старооскольский городской округ, село Архангельское, ул. Молодежная, д. 13","51.255694","38.105151",ФАП,./0.png
Белгородская область,Шебекинский район,Село,Архангельское,"Белгородская область, Шебекинский район, село Архангельское, ул. Ушакова, д. 85б","50.355254","36.78787",ФАП,./0.png
Белгородская область,Алексеевский район,Село,Афанасьевка,"Белгородская область, Алексеевский район, село Афанасьевка, ул. Максима Горького, д. 16","50.787615","38.597679",ФАП,./0.png
Белгородская область,Волоконовский район,Село,Афоньевка,"Белгородская область, Волоконовский район, село Афоньевка, ул. Подгорная, д. 114","50.566564","37.796068",ФАП,./0.png
Белгородская область,Прохоровский район,Село,Андреевка (Холоднянское с/п),"Белгородская область, Прохоровский район, село Андреевка (Холоднянское с/п), ул. Центральная, д. 6","51.032794","37.141402",ФАП,./0.png
Белгородская область,Грайворонский район,Село,Антоновка,"Белгородская область, Грайворонский район, село Антоновка, д. 71Е","50.550993","35.757961",ФАП,./0.png
Белгородская область,Красногвардейский район,Село,Арнаутово,"Белгородская область, Красногвардейский район, село Арнаутово, ул. Заречная, д. 56","50.40191","38.417333",ФАП,./0.png
Белгородская область,Шебекинский район,Село,Артельное,"Белгородская область, Шебекинский район, село Артельное, ул. Гагарина, д. 74Д","50.600903","37.30875",ФАП,./0.png
Белгородская область,Волоконовский район,Село,Александровка,"Белгородская область, Волоконовский район, село Александровка, ул. Мира, д. 21","50.417002","37.976279",ФАП,./0.png
Белгородская область,Ракитянский район,Село,Александровка,"Белгородская область, Ракитянский район, село Александровка, ул. Центральная, д. 32","50.879546","36.01611",ФАП,./0.png
Белгородская область,Чернянский район,Село,Александровка,"Белгородская область, Чернянский район, село Александровка, ул. Школьная, д. 4","50.961276","38.108827",ФАП,./0.png
Белгородская область,Алексеевский район,Село,Алексеенково,"Белгородская область, Алексеевский район, село Алексеенково, ул. Светлая, д. 5/2","50.521475","38.830442",ФАП,./0.png
Белгородская область,Борисовский район,Село,Акулиновка,"Белгородская область, Борисовский район, село Акулиновка, ул. Центральная, д. 33","50.652439","35.854988",ФАП,./0.png
Белгородская область,Алексеевский район,Село,Алейниково,"Белгородская область, Алексеевский район, село Алейниково, ул. Парковая, д. 54","50.468488","38.83611",ФАП,./0.png
Белгородская область,Шебекинский район,Село,Александровка,"Белгородская область, Шебекинский район, село Александровка, ул. Мира, д. 72","50.530001","37.517177",ФАП,./0.png
Белгородская область,Шебекинский район,Село,Верхнеберезово,"Белгородская область, Шебекинский район, село Верхнеберезово, ул. Кооперативная, д. 39","50.574339","37.233165",ФАП,./0.png
Белгородская область,Старооскольский городской округ,Село,Верхне-Чуфичево,"Белгородская область, Старооскольский городской округ, село Верхне-Чуфичево, ул. Полевая, д. 2","51.21237","37.727634",ФАП,./0.png
Белгородская область,Волоконовский район,Село,Верхние Лубянки,"Белгородская область, Волоконовский район, село Верхние Лубянки, ул. Центральная, д. 1 а","50.449357","37.733644",ФАП,./0.png
Белгородская область,Яковлевский район,Село,Верхний Ольшанец,"Белгородская область, Яковлевский район, село Верхний Ольшанец, ул. Школьная, д. 1","50.77778","36.826956",ФАП,./0.png
Белгородская область,Белгородский район,Село,Варваровка,"Белгородская область, Белгородский район, село Варваровка, ул. Зеленая, д. 55Б","50.42405","36.406967",ФАП,./0.png
Белгородская область,Ракитянский район,Село,Васильевка,"Белгородская область, Ракитянский район, село Васильевка, ул. Ленина, д. 1а","50.831703","35.990229",ФАП,./0.png
Белгородская область,Ракитянский район,Село,Введенская Готня,"Белгородская область, Ракитянский район, село Введенская Готня, ул. Центральная 1-я, д. 17","50.738743","35.895915",ФАП,./0.png
Белгородская область,Белгородский район,Село,Вергилевка,"Белгородская область, Белгородский район, село Вергилевка, ул. Центральная, д. 41А","50.311532","36.581887",ФАП,./0.png
Белгородская область,Краснояружский район,Поселок,Быценков,"Белгородская область, Краснояружский район, поселок Быценков, ул. Центральная, д. 2","50.737095","35.657107",ФАП,./0.png
Белгородская область,Красногвардейский район,Село,Валуй,"Белгородская область, Красногвардейский район, село Валуй, ул. Луговая, д. 50","50.514476","38.382039",ФАП,./0.png
Белгородская область,Красногвардейский район,Село,Валуйчик,"Белгородская область, Красногвардейский район, село Валуйчик, ул. Черняховского, д. 6","50.379559","38.255376",ФАП,./0.png
Белгородская область,Алексеевский район,Село,Варваровка,"Белгородская область, Алексеевский район, село Варваровка, ул. Центральная, д. 8","50.371309","38.841455",ФАП,./0.png
Белгородская область,Вейделевский район,Хутор,Брянские Липяги,"Белгородская область, Вейделевский район, хутор Брянские Липяги, ул. Центральная, д. 26А","50.152842","38.37169",ФАП,./0.png
Белгородская область,Корочанский район,Село,Бубново,"Белгородская область, Корочанский район, село Бубново, ул. Новая, д. 15","50.843557","37.520384",ФАП,./0.png
Белгородская область,Шебекинский район,Село,Булановка,"Белгородская область, Шебекинский район, село Булановка, ул. Молодежная, д. 1","50.600352","37.442169",ФАП,./0.png
Белгородская область,Валуйский район,Село,Бутырки,"Белгородская область, Валуйский район, село Бутырки, ул. Школьная, д. 2","50.179501","37.645797",ФАП,./0.png
Белгородская область,Новооскольский район,Село,Боровки,"Белгородская область, Новооскольский район, село Боровки, ул. Николаевская, д. 54","50.622075","37.678577",ФАП,./0.png
Белгородская область,Новооскольский район,Село,Боровое,"Белгородская область, Новооскольский район, село Боровое, ул. Центральная, д. 1","50.841299","38.255502",ФАП,./0.png
Белгородская область,Чернянский район,Хутор,Бородин,"Белгородская область, Чернянский район, хутор Бородин, ул. Верхняя, д. 30/2","50.987218","37.949796",ФАП,./0.png
Белгородская область,Белгородский район,Село,Бочковка,"Белгородская область, Белгородский район, село Бочковка, ул. Советская, д. 75","50.366684","36.568502",ФАП,./0.png
Белгородская область,Прохоровский район,Село,Большое,"Белгородская область, Прохоровский район, село Большое, ул. Центральная, д. 4","50.940781","36.979903",ФАП,./0.png
Белгородская область,Шебекинский район,Село,Большое Городище,"Белгородская область, Шебекинский район, село Большое Городище, ул. Советская, д. 16","50.641981","37.087072",ФАП,./0.png
Белгородская область,Корочанский район,Село,Большое Песчаное,"Белгородская область, Корочанский район, село Большое Песчаное, ул. Песчаная, д. 31","50.914501","37.351482",ФАП,./0.png
Белгородская область,Ракитянский район,Село,Борисполье,"Белгородская область, Ракитянский район, село Борисполье, ул. Молодежная, д. 7","50.877881","35.760656",ФАП,./0.png
Белгородская область,Новооскольский район,Село,Богдановка,"Белгородская область, Новооскольский район, село Богдановка, ул. Почтовая, д. 65","50.630498","37.543228",ФАП,./0.png
Белгородская область,Алексеевский район,Село,Божково,"Белгородская область, Алексеевский район, село Божково, ул. Центральная, д. 14","50.533631","38.927163",ФАП,./0.png
Белгородская область,Новооскольский район,Село,Большая Ивановка,"Белгородская область, Новооскольский район, село Большая Ивановка, д. 93/1","50.861441","38.185092",ФАП,./0.png
Белгородская область,Вейделевский район,Село,Большие Липяги,"Белгородская область, Вейделевский район, село Большие Липяги, ул. Молодежная, д. 8","50.207124","38.41789",ФАП,./0.png
Белгородская область,Красногвардейский район,Поселок,Бирюч (Коломыцевское с/п),"Белгородская область, Красногвардейский район, поселок Бирюч (Коломыцевское с/п), ул. Привокзальная, д. 8","50.523801","38.418898",ФАП,./0.png
Белгородская область,Белгородский район,Село,Ближнее,"Белгородская область, Белгородский район, село Ближнее, пер. Луговой, д. 11А","50.577342","36.382524",ФАП,./0.png
Белгородская область,Алексеевский район,Село,Ближнее Чесночное,"Белгородская область, Алексеевский район, село Ближнее Чесночное, ул. Подгорная, д. 60","50.696843","38.849558",ФАП,./0.png
Белгородская область,Новооскольский район,Хутор,Богатый,"Белгородская область, Новооскольский район, хутор Богатый, ул. Есенина, д. 4/1","50.65928","37.879009",ФАП,./0.png
Белгородская область,Краснояружский район,Село,Демидовка,"Белгородская область, Краснояружский район, село Демидовка, ул. Школьная, д. 3","50.946683","35.392338",ФАП,./0.png
Белгородская область,Старооскольский городской округ,Село,Дмитриевка,"Белгородская область, Старооскольский городской округ, село Дмитриевка, ул. Садовая, д. 84а","51.220461","38.120341",ФАП,./0.png
Белгородская область,Шебекинский район,Село,Дмитриевка,"Белгородская область, Шебекинский район, село Дмитриевка, ул. Советская, д. 14","50.487736","37.012539",ФАП,./0.png
Белгородская область,Грайворонский район,Село,Доброе,"Белгородская область, Грайворонский район, село Доброе, ул. Грайворонская, д. 8а","50.522282","35.68827",ФАП,./0.png
Белгородская область,Прохоровский район,Село,Гусек-Погореловка,"Белгородская область, Прохоровский район, село Гусек-Погореловка, ул. Им. Чернухина И.Ф., д. 1/2","51.050825","36.878124",ФАП,./0.png
Белгородская область,Губкинский городской округ,Село,Гущино,"Белгородская область, Губкинский городской округ, село Гущино, ул. Железнодорожная, д. 3","51.329517","37.197835",ФАП,./0.png
Белгородская область,Волоконовский район,Хутор,Давыдкин,"Белгородская область, Волоконовский район, хутор Давыдкин, ул. Зеленая, д. 24","50.351794","37.718812",ФАП,./0.png
