Регио,МО,Тип н�,Насел,Адрес,Широт,Долго,Кратк,icon_url
Волгоградская область,Городищенский район,Поселок,Новая Надежда,"Волгоградская область, Городищенский р-н, п. Новая Надежда, ул. Центральная, д. 2","48.8361111","44.3027778",ФАП,./0.png
Волгоградская область,Городищенский район,Село,Орловка,"Волгоградская область, Городищенский р-н, с. Орловка, ул. Советская, д. 24","48.8469444","44.5322222",ФАП,./0.png
Волгоградская область,Городищенский район,Хутор,Паньшино,"Волгоградская область, Городищенский р-н, х. Паньшино, ул. Степная, д. 16","49.0427778","44.025",ФАП,./0.png
Волгоградская область,Городищенский район,Хутор,Песковатка,"Волгоградская область, Городищенский р-н, х. Песковатка, ул. Центральная, д. 10","48.9127778","43.8180556",ФАП,./0.png
Волгоградская область,Городищенский район,Хутор,Грачи,"Волгоградская область, Городищенский р-н, х. Грачи, ул. Ленина, д. 36","48.9538889","44.3072222",ФАП,./0.png
Волгоградская область,Городищенский район,Поселок,Каменный,"Волгоградская область, Городищенский р-н, п. Каменный, ул. Ленина, д. 21","48.9761111","44.5713889",ФАП,./0.png
Волгоградская область,Городищенский район,Село,Карповка,"Волгоградская область, Городищенский р-н, с. Карповка, ул. Ленина, д. 41","48.6994444","43.9819444",ФАП,./0.png
Волгоградская область,Городищенский район,Хутор,Красный Пахарь,"Волгоградская область, Городищенский р-н, х. Красный Пахарь, ул. Новоселовская, д. 16","48.8002778","44.2361111",ФАП,./0.png
Волгоградская область,Быковский район,Поселок,Раздолье,"Волгоградская область, Быковский р-н, п. Раздолье, ул. Зеленая, д. 2/1","49.7661111","45.4533333",ФАП,./0.png
Волгоградская область,Быковский район,Село,Садовое,"Волгоградская область, Быковский р-н, с. Садовое, ул. Мира, д. 15","49.6788889","45.9225",ФАП,./0.png
Волгоградская область,Городищенский район,Хутор,Варламов,"Волгоградская область, Городищенский р-н, х. Варламов, ул. Советская, д. 10","49.0244444","44.3213889",ФАП,./0.png
Волгоградская область,Городищенский район,Хутор,Вертячий,"Волгоградская область, Городищенский р-н, х. Вертячий, ул. Донская, д. 1","48.9436111","43.8977778",ФАП,./0.png
Волгоградская область,Алексеевский район,Хутор,Яминский,"Волгоградская область, Алексеевский р-н, х. Яминский, ул. Советская, д. 32","50.3352778","42.2186111",ФАП,./0.png
Волгоградская область,Быковский район,Село,Александровка,"Волгоградская область, Быковский р-н, с. Александровка, ул. Центральная, д. 41","49.7966667","45.6438889",ФАП,./0.png
Волгоградская область,Быковский район,Село,Луговая Пролейка,"Волгоградская область, Быковский р-н, с. Луговая Пролейка, ул. Советская, д. 39","49.3511111","45.0741667",ФАП,./0.png
Волгоградская область,Быковский район,Поселок,Победа,"Волгоградская область, Быковский р-н, п. Победа, ул. Быковская, д. 8/1","49.6486111","45.4633333",ФАП,./0.png
Волгоградская область,Алексеевский район,Хутор,Солонцовский,"Волгоградская область, Алексеевский р-н, х. Солонцовский, , д. 92","50.1808333","42.4133333",ФАП,./0.png
Волгоградская область,Алексеевский район,Хутор,Стеженский,"Волгоградская область, Алексеевский р-н, х. Стеженский, , д. 103/1","50.29","42.1411111",ФАП,./0.png
Волгоградская область,Алексеевский район,Хутор,Трехложинский,"Волгоградская область, Алексеевский р-н, х. Трехложинский, , д. 94/1","50.0777778","42.0569444",ФАП,./0.png
Волгоградская область,Алексеевский район,Хутор,Шарашенский,"Волгоградская область, Алексеевский р-н, х. Шарашенский, , д. 83","50.1975","42.6916667",ФАП,./0.png
Волгоградская область,Алексеевский район,Хутор,Ларинский,"Волгоградская область, Алексеевский р-н, х. Ларинский, , д. 67","50.2408333","42.245",ФАП,./0.png
Волгоградская область,Алексеевский район,Хутор,Поклоновский,"Волгоградская область, Алексеевский р-н, х. Поклоновский, , д. 46/1","50.4047222","42.1447222",ФАП,./0.png
Волгоградская область,Алексеевский район,Хутор,Реченский,"Волгоградская область, Алексеевский р-н, х. Реченский, , д. 57","50.1763889","42.0330556",ФАП,./0.png
Волгоградская область,Алексеевский район,Хутор,Самолшинский,"Волгоградская область, Алексеевский р-н, х. Самолшинский, , д. 86","50.3786111","42.0619444",ФАП,./0.png
Волгоградская область,Алексеевский район,Хутор,Гущинский,"Волгоградская область, Алексеевский р-н, х. Гущинский, , д. 48б","50.3319444","42.0247222",ФАП,./0.png
Волгоградская область,Алексеевский район,Хутор,Ежовка,"Волгоградская область, Алексеевский р-н, х. Ежовка, , д. 21/1","49.988167","41.704087",ФАП,./0.png
Волгоградская область,Алексеевский район,Хутор,Исакиевский,"Волгоградская область, Алексеевский р-н, х. Исакиевский, , д. 39","50.4686111","42.2086111",ФАП,./0.png
Волгоградская область,Алексеевский район,Поселок,Красный Октябрь,"Волгоградская область, Алексеевский р-н, п. Красный Октябрь, , д. д.строение 57","50.3252778","42.5252778",ФАП,./0.png
