Регио,МО,Тип н�,Насел,Адрес,Широт,Долго,Кратк,icon_url
Республика Ингушетия,Джейрахский район,Село,Бейни,"Республика Ингушетия, Джейрахский район, село Бейни, ул. Центральная,","42.834444444","44.718611111",ФАП,./0.png
Республика Ингушетия,Джейрахский район,Село,Гули,"Республика Ингушетия, Джейрахский район, село Гули, ул. Укурова, 17","42.811388889","44.804166667",ФАП,./0.png
Республика Ингушетия,Назрановский район,Село,Кантышево,"Республика Ингушетия, Назрановский район, с. Кантышево, ул. Кодзоева, б/н","43.237777778","44.647222222",ФАП,./0.png
Республика Ингушетия,Назрановский район,Село,Долаково,"Республика Ингушетия, Назрановский район, с. Долаково, ул. Дахкильгова, б/н","43.241388889","44.591666667",ФАП,./0.png
Республика Ингушетия,Сунженский район,Село,Берд-Юрт,"Республика Ингушетия, Сунженский район, с. Берд-Юрт, ул. 7-я Линия, 2а","43.215000000","45.111666667",ФАП,./0.png
Республика Ингушетия,Сунженский район,Село,Мужичи,"Республика Ингушетия, Сунженский район, с. Мужичи, ул. Центральная, 14","43.029166667","44.993055556",ФАП,./0.png
Республика Ингушетия,Джейрахский район,Село,Ольгети,"Республика Ингушетия, Джейрахский район, село Ольгети, ул. Путина, 1","42.802500000","44.753888889",ФАП,./0.png
Республика Ингушетия,Джейрахский район,Село,Ляжги,"Республика Ингушетия, Джейрахский район, село Ляжги, ул. Точиева, 7","42.809166667","44.734444444",ФАП,./0.png
Республика Ингушетия,Сунженский район,Село,Аршты,"Республика Ингушетия, Сунженский район, с. Аршты, ул. Шерипова, 51","43.140000000","45.138055556",ФАП,./0.png
Республика Ингушетия,Сунженский район,Село,Галашки,"Республика Ингушетия, Сунженский район, с. Галашки, ул. Береговая, 56","43.115555556","44.990000000",ФАП,./0.png
Республика Ингушетия,Сунженский район,Село,Алкун,"Республика Ингушетия, Сунженский район, с. Алкун, ул. Мира, 30","42.982500000","45.011111111",ФАП,./0.png
Республика Ингушетия,Сунженский район,Село,Чемульга,"Республика Ингушетия, Сунженский район, с. Чемульга, ул. Центральная, 12","43.191111111","45.120555556",ФАП,./0.png
Республика Ингушетия,Малгобекский район,Село,Вознесенская,"Республика Ингушетия, Малгобекский район, с. Вознесенская, ул. Грозненская, 6","43.544444444","44.748611111",ФАП,./0.png
Республика Ингушетия,Малгобекский район,Село,Южное,"Республика Ингушетия, Малгобекский район, с. Южное, ул. Молодежная, 6","43.516944444","44.750833333",ФАП,./0.png
Республика Ингушетия,Сунженский район,Село,Н. Галашки,"Республика Ингушетия, Сунженский район, с. Н. Галашки, ул. Исламская, 30","43.093055556","44.988333333",ФАП,./0.png
Республика Ингушетия,Малгобекский район,Село,Вежарий,"Республика Ингушетия, Малгобекский район, с. Вежарий, ул. Братская, 6","43.593055556","44.578333333",ФАП,./0.png
