Кратк,Регио,МО,Тип н�,Насел,Адрес,Широт,Долго,icon_url
"0",Кемеровская область,Тисульский район,Село,Большой Берчикуль,"Россия, Кемеровская область, Тисульский район, Село Большой Берчикуль, пер. Советский, д. 2","55.637185","88.305066",./0.png
"0",Кемеровская область,Тисульский район,Село,Усть-Колба,"Россия, Кемеровская область, Тисульский район, Село Усть-Колба, ул. Советская, д. 15А","55.882661","88.304015",./0.png
"0",Кемеровская область,Тисульский район,Поселок,Центральный,"Россия, Кемеровская область, Тисульский район, Поселок Центральный, ул. Леонова, д. 5","55.212279","87.648091",./0.png
"0",Кемеровская область,Тисульский район,Деревня,Байла,"Россия, Кемеровская область, Тисульский район, Деревня Байла, ул. Трактовая, д. 24","55.744896","88.500721",./0.png
"0",Кемеровская область,Тисульский район,Село,Третьяково,"Россия, Кемеровская область, Тисульский район, Село Третьяково, ул. Береговая, д. 55","55.797458","88.442562",./0.png
"0",Кемеровская область,Тисульский район,Деревня,Серебряково,"Россия, Кемеровская область, Тисульский район, Деревня Серебряково, ул. Центральная, д. 82А","55.692846","89.026737",./0.png
"0",Кемеровская область,Прокопьевский район,Поселок,Ключи,"Россия, Кемеровская область, Прокопьевский район, Поселок Ключи, ул. Молодежная, д. 12-1","53.960751","86.859389",./0.png
"0",Кемеровская область,Прокопьевский район,Поселок,Тихоновка,"Россия, Кемеровская область, Прокопьевский район, Поселок Тихоновка, ул. Школьная, д. 1","54.127275","86.956973",./0.png
"0",Кемеровская область,Прокопьевский район,Поселок,Новостройка,"Россия, Кемеровская область, Прокопьевский район, Поселок Новостройка, ул. Боровская, д. 7-1","53.863126","86.491242",./0.png
"0",Кемеровская область,Тисульский район,Поселок,Большая Натальевка,"Россия, Кемеровская область, Тисульский район, Поселок Большая Натальевка, ул. Почтовая, д. 3","55.51829","87.932382",./0.png
"0",Кемеровская область,Новокузнецкий район,Поселок,Федоровка,"Россия, Кемеровская область, Новокузнецкий район, Поселок Федоровка, ул. Барнаульская, д. 12-5","53.577689","87.281636",./0.png
"0",Кемеровская область,Новокузнецкий район,Село,Кругленькое,"Россия, Кемеровская область, Новокузнецкий район, Село Кругленькое, ул. Мира, д. 2б","53.812194","87.207065",./0.png
"0",Кемеровская область,Новокузнецкий район,Поселок,Рассвет,"Россия, Кемеровская область, Новокузнецкий район, Поселок Рассвет, ул. Ленина, д. 15-1","53.720391","86.937595",./0.png
"0",Кемеровская область,Ижморский район,Село,Новославянка,"Россия, Кемеровская область, Ижморский район, Село Новославянка, ул. Молодежная, д. 22","56.536311","86.78986",./0.png
"0",Кемеровская область,Новокузнецкий район,Поселок,Загадное,"Россия, Кемеровская область, Новокузнецкий район, Поселок Загадное, ул. Подгорная, д. 4-2","54.147009","87.815491",./0.png
"0",Кемеровская область,Новокузнецкий район,Село,Лыс,"Россия, Кемеровская область, Новокузнецкий район, Село Лыс, ул. Мира, д. 6","53.151672","87.039883",./0.png
"0",Кемеровская область,Новокузнецкий район,Село,Бунгур,"Россия, Кемеровская область, Новокузнецкий район, Село Бунгур, ул. Ленинская, д. 7А","53.744365","87.004216",./0.png
"0",Кемеровская область,Новокузнецкий район,Деревня,Михайловка,"Россия, Кемеровская область, Новокузнецкий район, Деревня Михайловка, ул. Зеленая, д. 6","53.744655","86.993807",./0.png
"0",Кемеровская область,Новокузнецкий район,Село,Бенжереп 1-й,"Россия, Кемеровская область, Новокузнецкий район, Село Бенжереп 1-й, ул. Центральная, д. 24","53.322069","86.989033",./0.png
"0",Кемеровская область,Новокузнецкий район,Поселок,Подгорный,"Россия, Кемеровская область, Новокузнецкий район, Поселок Подгорный, ул. Центральная, д. 1б","53.815506","87.014969",./0.png
"0",Кемеровская область,Новокузнецкий район,Поселок,Зеленый Луг,"Россия, Кемеровская область, Новокузнецкий район, Поселок Зеленый Луг, ул. Новая, д. 5-2","53.481109","87.303407",./0.png
"0",Кемеровская область,Новокузнецкий район,Поселок,Мутный,"Россия, Кемеровская область, Новокузнецкий район, Поселок Мутный, ул. Нижняя, д. 1","54.367346","87.620862",./0.png
"0",Кемеровская область,Новокузнецкий район,Поселок,Чичербаево,"Россия, Кемеровская область, Новокузнецкий район, Поселок Чичербаево, ул. Центральная, д. 58","53.993417","87.17594",./0.png
"0",Кемеровская область,Новокузнецкий район,Поселок,Ананьино,"Россия, Кемеровская область, Новокузнецкий район, Поселок Ананьино, ул. Нагорная, д. 15","53.572373","86.862888",./0.png
"0",Кемеровская область,Новокузнецкий район,Село,Красулино,"Россия, Кемеровская область, Новокузнецкий район, Село Красулино, ул. Центральная, д. 6","54.027073","87.085612",./0.png
"0",Кемеровская область,Новокузнецкий район,Поселок,Успенка,"Россия, Кемеровская область, Новокузнецкий район, Поселок Успенка, ул. Центральная, д. 10","54.08222","87.220022",./0.png
"0",Кемеровская область,Новокузнецкий район,Село,Таргай,"Россия, Кемеровская область, Новокузнецкий район, Село Таргай, ул. Чистая Грива, д. 23а","53.565819","87.153435",./0.png
"0",Кемеровская область,Новокузнецкий район,Поселок,Тальжино,"Россия, Кемеровская область, Новокузнецкий район, Поселок Тальжино, ул. Школьная, д. 1","53.748603","87.436287",./0.png
"0",Кемеровская область,Новокузнецкий район,Поселок,Тальжино,"Россия, Кемеровская область, Новокузнецкий район, Поселок Тальжино, ул. Советская, д. 36","53.759198","87.412823",./0.png
"0",Кемеровская область,Новокузнецкий район,Поселок,Усть-Аскарлы,"Россия, Кемеровская область, Новокузнецкий район, Поселок Усть-Аскарлы, ул. Центральная, д. 17А","54.194576","87.557578",./0.png
"0",Кемеровская область,Яйский район,Деревня,Емельяновка,"Россия, Кемеровская область, Яйский район, Деревня Емельяновка, ул. Молодежная, д. 3","56.378728","85.906295",./0.png
"0",Кемеровская область,Новокузнецкий район,Поселок,Терехино,"Россия, Кемеровская область, Новокузнецкий район, Поселок Терехино, ул. Центральная, д. 29-1","53.990739","87.336637",./0.png
"0",Кемеровская область,Новокузнецкий район,Село,Бенжереп 2-й,"Россия, Кемеровская область, Новокузнецкий район, Село Бенжереп 2-й, ул. Зеленая, д. 2","53.266054","86.796432",./0.png
"0",Кемеровская область,Новокузнецкий район,Поселок,Баевка,"Россия, Кемеровская область, Новокузнецкий район, Поселок Баевка, ул. Зеленая, д. 46","53.725601","87.415435",./0.png
"0",Кемеровская область,Яйский район,Деревня,Марьевка,"Россия, Кемеровская область, Яйский район, Деревня Марьевка, ул. Школьная, д. 13-15","56.2971","86.389432",./0.png
"0",Кемеровская область,Яйский район,Село,Яя-Борик,"Россия, Кемеровская область, Яйский район, Село Яя-Борик, ул. Центральная, д. 85-1","56.274465","86.454317",./0.png
