Регио,МО,Тип н�,Насел,Адрес,Широт,Долго,Кратк,icon_url
Мурманская область,Кандалакшский район,Населенный пункт,Лесозаводский,"Мурманская область, Кандалакшский муниципальный р-н, нп Лесозаводский, улица  Центральная, 2а","66.73194","32.84417",ФАП,./0.png
Мурманская область,Кандалакшский район,Село,Лувеньга,"Мурманская область, Кандалакшский муниципальный район, с. Лувеньга, ул. Молодежная, 28","67.10389","32.71778",ФАП,./0.png
Мурманская область,Кандалакшский район,Населенный пункт,Белое Море,"Мурманская область, Кандалакшский р-н, нп Белое море, б/у, б/н","67.07861","32.27278",ФАП,./0.png
Мурманская область,Кандалакшский район,Населенный пункт,Зареченск,"Мурманская область, Кандалакшский муниципальный р-н, нп Зареченск, улица  Туломская, 8","66.68222","31.43889",ФАП,./0.png
Мурманская область,Ловозерский район,Село,Краснощелье,"Мурманская область, Ловозерский муниципальный р-н, с. Краснощелье, ул. Набережная, 5","67.35056","37.04889",ФАП,./0.png
Мурманская область,Терский район,Село,Варзуга,"Мурманская область, Ловозерский р-н, с. Варзуга, ул. Успенская, 9","66.39444","36.58444",ФАП,./0.png
Мурманская область,Кольский район,Железнодорожная станция,Лопарская,"Мурманская область, Кольский р-н, ж/д ст. Лопарская, б/у, 16б","68.63611","33.21889",ФАП,./0.png
Мурманская область,Кольский район,Село,Териберка,"Мурманская область, Кольский муниципальный р-н, с. Териберка, ул. Пионерская, 7а","69.19","35.11778",ФАП,./0.png
Мурманская область,Городской округ город Кировск с подведомственной территорией,Населенный пункт,Титан,"Мурманская область, г. Кировск, нп Титан, б/у, 5","67.56167","33.64",ФАП,./0.png
Мурманская область,Городской округ ЗАТО город Североморск,Населенный пункт,Щукозеро,"Мурманская область, Городской округ ЗАТО г. Североморск, нп Щукозеро, ул. Агеева, 3а","69.026147","33.637458",ФАП,./0.png
Мурманская область,Терский район,Село,Чаваньга,"Мурманская область, Ловозерский р-н, с. Чаваньга, б/у, б/н","66.11","37.75944",ФАП,./0.png
Мурманская область,Терский район,Село,Чапома,"Мурманская область, Ловозерский р-н, с. Чапома, б/у, б/н","66.10333","38.87028",ФАП,./0.png
Мурманская область,Городской округ Ковдорский район,Село,Ена,"Мурманская область, Ковдорский р-н, с. Ена, б/у, б/н","67.60556","31.16",ФАП,./0.png
Мурманская область,Городской округ Ковдорский район,Населенный пункт,Лейпи,"Мурманская область, Ковдорский р-н, нп Лейпи, б/у, 8","67.50139","30.71056",ФАП,./0.png
Мурманская область,Кольский район,Поселок Городского типа,Мурмаши,"Мурманская область, Кольский муниципальный р-н, пгт Мурмаши, ул. Причальная, 18","68.82889","32.7625",ФАП,./0.png
Мурманская область,Городской округ город Кировск с подведомственной территорией,Населенный пункт,Коашва,"Мурманская область, г. Кировск, нп Коашва, б/у, 13","67.6109","34.18167",ФАП,./0.png
