Регио,МО,Тип н�,Насел,Адрес,Широт,Долго,Кратк,icon_url
Новосибирская область,Чулымский район,Село,Кокошино,"Новосибирская область, Чулымский район, с. Кокошино, ул. Гагарина, 60","55.15138888888889","80.62333333333332",ФАП,./0.png
Новосибирская область,Чулымский район,Поселок,Васильевский,"Новосибирская область, Чулымский район, п. Васильевский, ул. Лесная, 15","55.278055555555554","80.96055555555556",ФАП,./0.png
Новосибирская область,Чулымский район,Поселок,Кузнецкий,"Новосибирская область, Чулымский район, п. Кузнецкий, ул. Молодежная, 14/1","55.17861111111111","81.30444444444444",ФАП,./0.png
Новосибирская область,Чулымский район,Село,Золотая Грива,"Новосибирская область, Чулымский район, с. Золотая Грива, ул. Больничная, 3","54.995","80.68722222222223",ФАП,./0.png
Новосибирская область,Чулымский район,Поселок,Михайловский,"Новосибирская область, Чулымский район, п. Михайловский, ул. Молодежная, 2 а","54.58555555555556","80.96055555555556",ФАП,./0.png
Новосибирская область,Чулымский район,Село,Чикман,"Новосибирская область, Чулымский район, с. Чикман, ул. Больничная, 16","54.7725","81.33694444444444",ФАП,./0.png
Новосибирская область,Чулымский район,Село,Секты,"Новосибирская область, Чулымский район, с. Секты, ул. Трактовая, 45","55.14388888888889","81.43027777777779",ФАП,./0.png
Новосибирская область,Чулымский район,Село,Серебрянское,"Новосибирская область, Чулымский район, с. Серебрянское, ул. Советская, 98","54.87444444444444","80.70027777777779",ФАП,./0.png
Новосибирская область,Чулымский район,Поселок,Алексеевка,"Новосибирская область, Чулымский район, п. Алексеевка, ул. Крестьянская, 11","54.51305555555555","81.13944444444445",ФАП,./0.png
Новосибирская область,Чулымский район,Село,Большеникольское,"Новосибирская область, Чулымский район, с. Большеникольское, ул. Центральная, 40","54.605000000000004","81.47222222222223",ФАП,./0.png
Новосибирская область,Чулымский район,Поселок,Сидоркино,"Новосибирская область, Чулымский район, п. Сидоркино, ул. Сидоркинская, 23","54.86416666666667","81.39694444444446",ФАП,./0.png
Новосибирская область,Чулымский район,Поселок,Илюшино,"Новосибирская область, Чулымский район, п. Илюшино, ул. Лесная, 19 а","55.0225","81.38555555555556",ФАП,./0.png
Новосибирская область,Чулымский район,Поселок,Осиновский,"Новосибирская область, Чулымский район, п. Осиновский, ул. Заречная, 14 а","54.82083333333334","81.47638888888889",ФАП,./0.png
Новосибирская область,Сузунский район,Поселок,Харьковка,"Новосибирская область, Сузунский район, п. Харьковка, ул. Новая, 16 а","54.10944444444445","82.31555555555555",ФАП,./0.png
Новосибирская область,Сузунский район,Станция,Тарадоново,"Новосибирская область, Сузунский район, ст. Тарадоново, ул. Набережная, 10","53.76888888888889","81.84638888888888",ФАП,./0.png
Новосибирская область,Сузунский район,Село,Мышланка,"Новосибирская область, Сузунский район, с. Мышланка, ул. Советская, 50","54.01555555555556","82.08833333333332",ФАП,./0.png
Новосибирская область,Сузунский район,Село,Рождественка,"Новосибирская область, Сузунский район, с. Рождественка, ул. Гагарина, 22","54.376666666666665","82.44666666666667",ФАП,./0.png
Новосибирская область,Сузунский район,Село,Шигаево,"Новосибирская область, Сузунский район, с. Шигаево, ул. Центральная, 18","54.250277777777775","82.32083333333333",ФАП,./0.png
Новосибирская область,Сузунский район,Село,Артамоново,"Новосибирская область, Сузунский район, с. Артамоново, ул. Битковская, 34 а","54.18611111111111","82.13555555555556",ФАП,./0.png
Новосибирская область,Сузунский район,Населенный пункт,Участок Нечунаевский,"Новосибирская область, Сузунский район, нп. Участок Нечунаевский, ул. Приозерная, 7","53.80416666666667","82.44833333333334",ФАП,./0.png
Новосибирская область,Сузунский район,Поселок,Федоровский,"Новосибирская область, Сузунский район, п. Федоровский, ул. Лесная, 29","54.155833333333334","82.54666666666667",ФАП,./0.png
