Регио,МО,Тип н�,Насел,Адрес,Широт,Долго,Кратк,icon_url
Саратовская область,Энгельсский район,Село,Старицкое,"Саратовская обл., Энгельсский район, с. Старицкое, ул. Центральная, 30","51.56487","46.502819",ФАП,./0.png
Саратовская область,Энгельсский район,Село,Степное,"Саратовская обл., Энгельсский район, с. Степное, ул. Центральная, 13а","51.118324","45.947644",ФАП,./0.png
Саратовская область,Энгельсский район,Село,Подстепное,"Саратовская обл., Энгельсский район, с. Подстепное, ул. Кирова, 44в","51.665464","46.476386",ФАП,./0.png
Саратовская область,Энгельсский район,Поселок,Придорожный,"Саратовская обл., Энгельсский район, п. Придорожный, ул. Мира, 4","51.391929","46.296107",ФАП,./0.png
Саратовская область,Энгельсский район,Село,Широкополье,"Саратовская обл., Энгельсский район, с. Широкополье, ул. Мира, 23","51.280962","46.641444",ФАП,./0.png
Саратовская область,Энгельсский район,Станция,Титоренко,"Саратовская обл., Энгельсский район, ст. Титоренко, ул. Школьная, 31","51.300293","46.601676",ФАП,./0.png
Саратовская область,Энгельсский район,Село,Усть-Караман,"Саратовская обл., Энгельсский район, с. Усть-Караман, ул. Школьная, 25/1","51.659352","46.550046",ФАП,./0.png
Саратовская область,Фёдоровский район,Село,Николаевка,"Саратовская обл., Фёдоровский район, с. Николаевка, ул. Центральная, 16а","51.193345","47.67346",ФАП,./0.png
Саратовская область,Фёдоровский район,Село,Первомайское,"Саратовская обл., Фёдоровский район, с. Первомайское, ул. Ленина, 27","51.465829","47.616629",ФАП,./0.png
Саратовская область,Фёдоровский район,Село,Морцы,"Саратовская обл., Фёдоровский район, с. Морцы, ул. Победы, 13","51.287631","47.839937",ФАП,./0.png
Саратовская область,Фёдоровский район,Село,Мунино,"Саратовская обл., Фёдоровский район, с. Мунино, ул. Молодежная, 16","51.31413","47.907782",ФАП,./0.png
Саратовская область,Фёдоровский район,Село,Спартак,"Саратовская обл., Фёдоровский район, с. Спартак, ул. Восточная, 27","51.377064","47.781722",ФАП,./0.png
Саратовская область,Хвалынский район,Село,Акатная Маза,"Саратовская обл., Хвалынский район, с. Акатная Маза, ул. Пролетарская, 12","52.453767","47.665687",ФАП,./0.png
Саратовская область,Фёдоровский район,Село,Романовка,"Саратовская обл., Фёдоровский район, с. Романовка, ул. Советская, 54","51.384503","47.372787",ФАП,./0.png
Саратовская область,Фёдоровский район,Поселок,Солнечный,"Саратовская обл., Фёдоровский район, п. Солнечный, ул. Центральная, 11а","51.175902","47.937136",ФАП,./0.png
Саратовская область,Хвалынский район,Село,Горюши,"Саратовская обл., Хвалынский район, с. Горюши, ул. Советская, 56","52.563429","47.608942",ФАП,./0.png
Саратовская область,Хвалынский район,Село,Дубовый Гай,"Саратовская обл., Хвалынский район, с. Дубовый Гай, ул. Школьная, 10","52.518023","47.605986",ФАП,./0.png
Саратовская область,Хвалынский район,Село,Апалиха,"Саратовская обл., Хвалынский район, с. Апалиха, ул. 60 лет Октября, 32","52.310972","47.709264",ФАП,./0.png
Саратовская область,Хвалынский район,Село,Благодатное,"Саратовская обл., Хвалынский район, с. Благодатное, ул. Центральная, 101","52.693769","48.101541",ФАП,./0.png
Саратовская область,Хвалынский район,Село,Еремкино,"Саратовская обл., Хвалынский район, с. Еремкино, ул. Комсомольская, 27А","52.648273","47.817172",ФАП,./0.png
Саратовская область,Хвалынский район,Село,Новояблонка,"Саратовская обл., Хвалынский район, с. Новояблонка, ул. Садовая, 31а","52.392214","47.949501",ФАП,./0.png
Саратовская область,Хвалынский район,Село,Елховка,"Саратовская обл., Хвалынский район, с. Елховка, ул. Советская, 23А","52.527443","47.798229",ФАП,./0.png
