Регио,МО,Тип н�,Насел,Адрес,Широт,Долго,Кратк,icon_url
Челябинская область,Катав-Ивановский район,Село,Верх-Катавка,"Челябинская область, Катав-Ивановский район, с. Верх-Катавка, ул. Советская, 47","54.776373","58.242487",ФАП,./0.png
Челябинская область,Катав-Ивановский район,Село,Меседа,"Челябинская область, Катав-Ивановский район, с. Меседа, ул. Советская, 132","54.770188","58.699191",ФАП,./0.png
Челябинская область,Миасский городской округ,Поселок,Северные Печи,"Челябинская область,Миасский городской округ, п. Северные Печи, ул. Клубная, 2","55.206724","60.160121",ФАП,./0.png
Челябинская область,Миасский городской округ,Поселок,Хребет,"Челябинская область, Миасский городской округ, п. Хребет, ул. 40 лет Октября, 7","55.082642","59.830448",ФАП,./0.png
Челябинская область,Ашинский район,Поселок,Сухая Атя,"Челябинская область, Ашинский район, п. Сухая Атя, ул. Центральная, 1","54.856056","57.399445",ФАП,./0.png
Челябинская область,Ашинский район,Поселок,Ук,"Челябинская область, Ашинский район, п. Ук, ул. Ленина, 24","54.944166","57.270088",ФАП,./0.png
Челябинская область,Агаповский район,Поселок,Новоянгелька,"Челябинская область, Агаповский район, п. Новоянгелька, ул. Центральная, 9","53.199994","58.921568",ФАП,./0.png
Челябинская область,Кусинский район,Поселок,Магнитка,"Челябинская область, Кусинский район, п. Магнитка, ул. 8 Марта, 52","55.358018","59.690023",ФАП,./0.png
Челябинская область,Сосновский район,Село,Туктубаево,"Челябинская область, Сосновский район, с. Туктубаево, ул. Плановая, 9","55.102853","60.886831",ФАП,./0.png
Челябинская область,Сосновский район,Деревня,Касарги,"Челябинская область, Сосновский район, д. Касарги, ул. Озерная, 1","55.370462","61.187551",ФАП,./0.png
Челябинская область,Брединский район,Поселок,Могутовский,"Челябинская область, Брединский район, п. Могутовский, пер. Центральный, 10 а/2","52.708705","60.207067",ФАП,./0.png
Челябинская область,Брединский район,Поселок,Княженский,"Челябинская область, Брединский район, п. Княженский, ул. Генерала Григорьева, 39 а","52.6478","60.659404",ФАП,./0.png
Челябинская область,Сосновский район,Село,Вознесенка,"Челябинская область, Сосновский район, с. Вознесенка, ул. Школьная, 1","54.991423","61.362453",ФАП,./0.png
Челябинская область,Карталинский район,Поселок,Джабык,"Челябинская область, Карталинский район, п. Джабык, ул. Элеваторная, 11","53.163401","59.958045",ФАП,./0.png
Челябинская область,Сосновский район,Деревня,Мамаева,"Челябинская область, Сосновский район, д. Мамаева, ул. Солнечная, 1","55.20058","60.91175",ФАП,./0.png
Челябинская область,Миасский городской округ,Поселок,Нижний Атлян,"Челябинская область, Миасский городской округ, п. Нижний Атлян, ул. г.ок, 15","54.995385","59.876801",ФАП,./0.png
Челябинская область,Чесменский район,Поселок,Маяк,"Челябинская область, Чесменский район, п. Маяк, ул. Горького, 9","53.546285","60.47207",ФАП,./0.png
Челябинская область,Нагайбакский район,Поселок,Знаменка,"Челябинская область, Нагайбакский район, п. Знаменка, ул. Школьная, 24","53.531055","59.973855",ФАП,./0.png
Челябинская область,Карталинский район,Поселок,Некрасово,"Челябинская область, Карталинский район, п. Некрасово, ул. Восточная, 2","52.922767","60.356789",ФАП,./0.png
Челябинская область,Карталинский район,Село,Елизаветопольское,"Челябинская область, Карталинский район, с. Елизаветопольское, ул. Центральная, 31","52.834497","60.610266",ФАП,./0.png
